author|profile_href|location|date_time|comment_text
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|03/30/2020  5:28  AM|==== COVID-19 CREDIT ====|"
			Like you, we are all monitoring this pandemic and what it has brought to all our lives.
			 

			
				Any member that had an active paid account as of March 29th 2020 had their account extended 15 days.
			 

			
				In addition, anyone whose ""listing expired"" after Sunday March 22, 2020 that did not renew can contact us and we will reactivate their account within 24 hours and immediately apply 15 days to that account.
			 

			
				Please note any user that falls within that ""listing expired"" group must contact us by Thursday April 2, 2020 at 
				Thewhisperertob@gmail.com
			 

			
				Please stay safe 
				TOB
		"
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|01/17/2020  1:53  AM|Can non-members view my profile/reviews?|"
			They need to agree to the Terms on the landing page. Have them close their browser window, then reopen the browser, go to www.theotherboard.com agree to the terms they can then click the link you sent them or copy and paste it into the address bar.
		"
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|11/07/2019  9:02  PM|Are TOB references useful as references?|"
			We are working on  a major update to be released after the first of the year and updating will be possible. As of now you cannot unless you delete it, however, requesting a new one will get your references blocked as the system flags that as spamming a providers references.
		"
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|11/14/2018  3:38  AM|What did you do to stay alive during the blackout???|"
			As your isp's update their records so will your access. This can take an hour up to 48 hours. However, we expect that most isp's will have their records updated by late morning.
		"
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|11/14/2018  1:50  AM|What did you do to stay alive during the blackout???|"
			We appreciate the post and understanding:)
		"
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|11/14/2018  1:38  AM|What did you do to stay alive during the blackout???|"
			We are sorry for any inconvenience this may cause. We have explained to you Cali that there may be an issue with your isp updating its record information. This should resolve itself by morning.
		"
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|11/13/2018  8:20  PM|What did you do to stay alive during the blackout???|"
			Sorry about that, we planned to have this occur over the weekend :/ a few may still experience connection issues, but that should be resolved by morning...
		"
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|10/20/2018  2:47  AM|LADIES!!! Help adding Pics!!|"
			You deleted the Gallery after uploading your pictures. We created it again, adding the pictures to the Gallery and then your Listing. Have a good day.
		"
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|10/04/2018  3:32  AM|LADIES!!! Help adding Pics!!|"
			Great:)
		"
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|10/03/2018  1:34  AM|LADIES!!! Help adding Pics!!|"
			Adding Pictures to the Gallery: 
	#1 Click to Create New Gallery. You have the option to Rename that Gallery.
 


	#2 Then click ADD TO GALLERY  This will open the Media Manager window. (If you added pictures previously, they will be in there)
 


	You will then click and browse your Tablet, Phone or Computer and locate the pictures you want to upload.
 


	#3 Once you have upload the pictures, please CLICK each picture you want to appear in that gallery.
 


	#4 Once you have CLICKED all the pictures you want to appear in that gallery, click the ADD button at the bottom of the Media Manager window.
 


	You have now created a gallery. You can repeat the process for each gallery you want to create.  


	PICTURE WON'T LOAD: 
	Does the blue line load, but then no image appears? If so, the image is to large. A quick fix, send that image to yourself in a text message, save that and then upload that image.
		"
TheWhisperer|https://theotherboard.com/forum/index.php?app=core&module=members&controller=profile&id=4454|N/A|09/11/2018  8:41  PM|Listings|"
			Instantly
		"
