author|date_time|title|comment_text
1over|03/21/2020 12:53  PM|Coronavirus Poll|"
			I’ve got the Covid right now...I think, they won’t test me though. I have most of the symptoms, but fortunately they’re are moderate at best so far. Once I’m out of quarantine, and symptom free for 2 weeks I’ll be immune and back out there hobbying again.




	i assume we will have providers contracting Covid soon as well. Hopefully they will quarantine till there well and not contagious.  I wonder, will we then see providers advertising as “Covid-friendly” ??
		"
1over|01/06/2015 12:19  PM|does her voice make your skin tingle is it time to book a session?|"
			When considering a new asp encounter, the first impression i get on the phone, her voice being a huge part of it, is one of the biggest factors in whether or not I take the plunge.
		"
1over|01/06/2015 11:45  AM|Best BJ|"
			yeah, it's more like rocket science.  lots of trial and error, you'll figure it out.
		"
1over|01/06/2015 11:19  AM|Bad back|"
			A good physical therapist will be able to address your specific needs, its different for everybody.

In general, strengthen AND stretch, legs/hips and the entire core.
		"
1over|12/29/2014  2:29  PM|411 on Jessie Rae|"
			I'd love to know as well!
		"
1over|12/25/2014 11:24  PM|Wow how things have changed around here! :)|"
			C.C. was my first experience in the hobby.  You may have been my ""first""  !
		"
1over|12/10/2014  4:34  PM|COF/facial providers?|"
			It used to be one of the optional listed activities that someone may enjoy in their private life on P411, but not anymore
		"
1over|11/17/2014  1:46  PM|Hello TOB|"
			Talk Hard!
		"
1over|10/22/2014  3:25  PM|Courteous Call|"
			I pretty much agree with the consensus, sh*t happens, just try to give the other party as much notice as possible.

I don't get one thing though..... Costco for pizza? really!?
		"
1over|10/15/2014  4:40  PM|Squirt VS Cream?|"
			Do I have to choose?

Creamer, just slightly more than squirter.
		"
1over|10/15/2014  3:35  PM|Ebola & The Hobby|"
			wow, the FUD is overwhelming!  3 cases is hardly a pandemic, STOP watching cable news and the corporate media in general.
		"
1over|10/12/2014  4:04  PM|Real Pics / Outcalls|"
			wow....just wow
		"
1over|09/22/2014  3:46  PM|Uncanny resemblance?|"
			Saw reviews for the 1st, anyone know if the 2nd is legit?
		"
1over|06/22/2014 12:27  PM|Seeking a squirter|"
			It's absolutely real, and I absolutely love it!

Go see Sunny!
		"
2Big|07/01/2020 12:06  AM|Ron Jeremy charged with rape.|"
			The guy is disgusting. Always was. If I were a porn star I'd charge quadruple my rate for this wylde beast to even come near me.
		"
2Big|06/27/2020  4:44  AM|Ron Jeremy charged with rape.|"
			He'll be a favorite with the three-legged prison ladies.
		"
2Big|06/27/2020  4:43  AM|You'll Never Walk Alone|"
			I'll take those 4 bennies, thank you very much.
		"
2Big|06/24/2020  9:14  AM|Ron Jeremy charged with rape.|"
			Good.
		"
2Big|06/20/2020  6:07  AM|Every morning a new arrival...|"
			My ancestors used to say: sometimes it rains, sometimes it doesn't. Those folks were wise!
		"
2Big|06/20/2020  3:03  AM|Supply and demand never thought id use it here|"
			So, have any of our fine ladies offered to help you out? Send you a King Soopers gift card, maybe? A freebie?
		"
2Big|06/14/2020  5:34  AM|Colombia vs. Dominican Republic|"
			The only spanish word I know is ""puta"" - but that should get me 98% there.



	So, which Latin American country has the best and cheapest whores? Preferably in combination with nice beaches, food, and 5 star hotels.
		"
2Big|06/13/2020 12:26  PM|Msog providers|"
			I don't get it. You paid for ""an hour of her time"", so it's up to you how many times you want to nut. Just nut!
		"
2Big|06/13/2020  6:14  AM|Supply and demand never thought id use it here|"
			My Uncle Al - yes, you could call him Al - used to say: if the fish ain't bitin', it's time to change your bait.



	Hookers need to start thinking out of the box: offering steep discounts, two for one specials, 30 minute quickies, etc. Maybe do $50/15 minute sessions.



	Here's an idea: maybe get a second job.
		"
